quantity,item_value,description,ocid
1.0,1.8816,LAPICES DE COLOR CAJA 12 UNIDADES,ocds-5wno2w-CE-20220002230456-110599
1400.0,0.6,Estradiol valerato + Noretisterona enantato,ocds-5wno2w-CE-20220002230324-1040321
30.0,1.848,LAPICES DE COLOR CAJA 12 UNIDADES,ocds-5wno2w-CE-20220002229981-15065
3.0,4.48,GRAPADORA NORMAL METALICA GRANDE,ocds-5wno2w-CE-20220002230201-2438
5.0,2.19408,LIQUIDO (ACEITE) LIMPIA MUEBLES FRASCO 250 CC,ocds-5wno2w-CE-20220002230058-96969
2.0,11.2,"DISPENSADOR DE JABON LIQUIDO 500, 800,1000 ML SACHET",ocds-5wno2w-CE-20220002230051-96969
2.0,1.7472,LIQUIDO PARA LIMPIAR VIDRIO ATOMIZADOR 500 CC,ocds-5wno2w-CE-20220002230050-96969
950.0,2.42,SERVICIOS DE ALMUERZOS Y REFRIGERIOS PARA INSTITUCIONES,ocds-5wno2w-CE-20220002230183-101842
100.0,0.0504,SOBRE MANILA F2,ocds-5wno2w-CE-20220002230238-104249
10.0,4.256,DESINFECTANTE AMONIO CUATERNARIO GALON,ocds-5wno2w-CE-20220002230052-96969
1.0,0.2912,CINTA ADHESIVA 18 X 50 YDAS,ocds-5wno2w-CE-20220002230455-110599
1.0,0.448,ESTILETE MEDIANO,ocds-5wno2w-CE-20220002230454-110599
300.0,0.11648,CARPETA FOLDER DE CARTULINA KRAFT VARIOS COLORES,ocds-5wno2w-CE-20220002230211-2438
3.0,1.8368,LAPIZ HB CON GOMA CAJA 12 UNIDADES,ocds-5wno2w-CE-20220002230104-442238
22.0,1.6688,ARCHIVADORES TAMANO OFICIO LOMO 8 CMS,ocds-5wno2w-CE-20220002230105-442238
30.0,1.4,TABLA PARA APUNTES (APOYAMANOS) PLASTICO,ocds-5wno2w-CE-20220002230106-442238
6.0,3.8192,AMBIENTAL VARIAS FRAGANCIAS LIQUIDO GALON,ocds-5wno2w-CE-20220002230185-123874
96.0,3.2445,Peróxido de Benzoilo,ocds-5wno2w-CE-20220002230495-2808
680.0,189.7297,Factor  VIII de la coagulación,ocds-5wno2w-CE-20220002230331-2803
4.0,273.28,NEUMATICO 215/75 R 17.5 126/124 TODA POSICION APLICACION URBANO,ocds-5wno2w-CE-20220002230280-3233
4.0,14.6384,TINTA MAGENTA IMPRESORA MODELO 3,ocds-5wno2w-CE-20220002230376-86018
6.0,1.3776,ATOMIZADOR 500 CC,ocds-5wno2w-CE-20220002230336-774669
6.0,14.6384,TINTA NEGRA IMPRESORA MODELO 3,ocds-5wno2w-CE-20220002230375-86018
