quantity,item_value,description,ocid
2.0,22.4,FLASH MEMORY 32 GB*,ocds-5wno2w-CE-20200001822194-390949
5.0,0.2464,GRAPAS 26/6 CAJA DE 1000 U*,ocds-5wno2w-CE-20200001822195-390949
100.0,1.232,ARCHIVADORES TAMANO OFICIO LOMO 8 CMS*,ocds-5wno2w-CE-20200001820538-178713
36.0,1.456,ARCHIVADORES TAMANO OFICIO LOMO 4 CMS*,ocds-5wno2w-CE-20200001820539-178713
1.0,,SERVICIO DE ALQUILER DE FOTOCOPIADORAS,ocds-5wno2w-SIE-MIESCZ4-2020-002-20852
250.0,29.1648,SERVICIOS DE CONFECCION DE UNIFORMES,ocds-5wno2w-CE-20200001821547-365398
250.0,29.1648,SERVICIOS DE CONFECCION DE UNIFORMES,ocds-5wno2w-CE-20200001822193-362824
291.0,0.896,CERA PARA DEDOS/CREMA CONTAR BILLETES (GRANDE)*,ocds-5wno2w-CE-20200001822305-722820
5.0,5.824,AMBIENTAL CONCENTRADO LÍQUIDO GALÓN*,ocds-5wno2w-CE-20200001821108-529814
300.0,0.056,ESFEROGRAFICO AZUL PUNTA MEDIA*,ocds-5wno2w-CE-20200001820258-385484
200.0,1.176,ARCHIVADORES TAMANO OFICIO LOMO 8 CMS*,ocds-5wno2w-CE-20200001821728-3205
50.0,0.163184,REGLA PLÁSTICA 30 CM*,ocds-5wno2w-CE-20200001820259-385484
250.0,29.1648,SERVICIOS DE CONFECCION DE UNIFORMES,ocds-5wno2w-CE-20200001822192-362824
100.0,0.2464,TINTA CORRECTORA TIPO ESFERO*,ocds-5wno2w-CE-20200001822064-34898
3.0,0.896,GOMA EN BARRA DE 40 GR*,ocds-5wno2w-CE-20200001820537-178713
3.0,2.3408,JABÓN DE TOCADOR LÍQUIDO CON VÁLVULA 400 ML*,ocds-5wno2w-CE-20200001821111-529814
2.0,5.8464,TRAPEADOR DE PLANO DE 30 - 40 CM*,ocds-5wno2w-CE-20200001821110-529814
250.0,29.1648,SERVICIOS DE CONFECCION DE UNIFORMES,ocds-5wno2w-CE-20200001822188-362824
250.0,29.1648,SERVICIOS DE CONFECCION DE UNIFORMES,ocds-5wno2w-CE-20200001822189-362824
2.0,288.96,IMPRESORA TINTA COLOR A4 MODELO 1,ocds-5wno2w-CE-20200001822062-31732
1.0,459.2,IMPRESORA TINTA COLOR A4 MODELO 3,ocds-5wno2w-CE-20200001822063-31732
250.0,29.1648,SERVICIOS DE CONFECCION DE UNIFORMES,ocds-5wno2w-CE-20200001822190-362824
247.0,29.1648,SERVICIOS DE CONFECCION DE UNIFORMES,ocds-5wno2w-CE-20200001821549-365398
6.0,15.5568,"SET DE MOPA (MANGO, BASE, MOPA) DE 64 CM*",ocds-5wno2w-CE-20200001821573-3205
250.0,29.1648,SERVICIOS DE CONFECCION DE UNIFORMES,ocds-5wno2w-CE-20200001822191-362824
250.0,29.1648,SERVICIOS DE CONFECCION DE UNIFORMES,ocds-5wno2w-CE-20200001821548-365398
