id,ocid,year,month,method,internal_type,locality,region,suppliers,buyer,amount,date,title,description,budget
1999339,ocds-5wno2w-SIE-HEEE-171-2022-YH-52558,2022,7,open,Subasta Inversa Electrónica,QUITO,PICHINCHA,,Hospital Eugenio Espejo,0.000000,2022-07-29T08:12:02-05:00,SIE-HEEE-171-2022-YH-52558,ADQUISICIÓN DE ESPECIALIDAD OTORRINOLARINGOLOGÍA - IMPLANTES COCLEARES,
1999321,ocds-5wno2w-SIE-HBO-089-2022-EP-40576,2022,7,open,Subasta Inversa Electrónica,QUITO,PICHINCHA,,HOSPITAL PEDIATRICO BACA ORTIZ,22435.200000,2022-08-22T09:20:15-05:00,SIE-HBO-089-2022-EP-40576,ADQUISICIÓN DE CARBOHIDRATOS (DEXTROSA EN AGUA) LÍQUIDO PARENTERAL 5 por ciento X 1000 ML,
1999338,ocds-5wno2w-SIE-HEEE-169-2022-VS-52558,2022,7,open,Subasta Inversa Electrónica,QUITO,PICHINCHA,,Hospital Eugenio Espejo,11329.770000,2022-08-24T08:57:15-05:00,SIE-HEEE-169-2022-VS-52558,ADQUISICIÓN RECIPIENTES PLÁSTICOS PARA EL ALMACENAMIENTO DE DESECHOS CORTOPUNZANTES,
1999326,ocds-5wno2w-SIE-HE1-120-2022-43246,2022,7,open,Subasta Inversa Electrónica,QUITO,PICHINCHA,,HOSPITAL DE ESPECIALIDADES FUERZAS ARMADAS NO. 1,22429.500000,2022-10-13T13:14:43-05:00,SIE-HE1-120-2022-43246,ADQUISICIÓN DE INSUMOS MATERIALES Y REACTIVOS PARA BIOLOGÍA MOLECULAR A UTILIZARSE EN EL SERVICIO DE GENÉTICA MÉDICA DEL HE-1,
1985840,ocds-5wno2w-SIE-HGDC-042-2022-594674,2022,6,open,Subasta Inversa Electrónica,QUITO,PICHINCHA,,HOSPITAL GENERAL DOCENTE DE CALDERON,0.000000,2022-07-02T07:55:13-05:00,SIE-HGDC-042-2022-594674,ADQUISICIÓN DE GABAPENTINA SÓLIDO ORAL 300 MG PARA ABASTECER EL HOSPITAL GENERAL DOCENTE DE CALDERON,
1999551,ocds-5wno2w-CE-20220002167477-793125,2022,3,selective,Catálogo electrónico - Mejor oferta,LAGO AGRIO,SUCUMBIOS,PLASTILIMPIO S.A.,EMPRESA PUBLICA MUNICIPAL DE AGUA POTABLE Y ALCANTARILLADO DEL CANTÒN LAGO AGRIO,80.130400,2022-03-17T00:00:00-05:00,Orden de compra CE-20220002167477,Orden de compra para adquirir los siguientes productos:  FUNDA DE BASURA SEMINDUSTRIAL AZUL 30 PULGADAS X36,80.1304
1987093,ocds-5wno2w-SIE-HGEG-035-2022-106745,2022,6,open,Subasta Inversa Electrónica,QUITO,PICHINCHA,,HOSPITAL GENERAL ENRIQUE GARCES,0.000000,2022-07-02T07:55:14-05:00,SIE-HGEG-035-2022-106745,"ADQUISICIÓN DE DISPOSITIVO MÉDICO ESPONJA O APÓSITO PARA DRENAJE DE HERIDAS MEDIANAS Y PEQUEÑAS, ABIERTAS Y CERRADAS TIPO-TERAPIA VAC PARA EL HOSPITAL GENERAL ENRIQUE GARCÉS",
1999552,ocds-5wno2w-CE-20220002194150-793125,2022,4,selective,Catálogo electrónico - Mejor oferta,LAGO AGRIO,SUCUMBIOS,CONTINENTAL TIRE ANDINA S.A.,EMPRESA PUBLICA MUNICIPAL DE AGUA POTABLE Y ALCANTARILLADO DEL CANTÒN LAGO AGRIO,12809.440000,2022-04-19T00:00:00-05:00,Orden de compra CE-20220002194150,Orden de compra para adquirir los siguientes productos:  NEUMATICO 295/80R22.5 152/148K DIRECCION APLICACION SERVICIO SEVERO TRACCION,12809.44
1999361,ocds-5wno2w-SIE-HGISD-025-2022-519694,2022,7,open,Subasta Inversa Electrónica,SANTO DOMINGO,SANTO DOMINGO DE LOS TSACHILAS,,HOSPITAL GENERAL IESS SANTO DOMINGO,136281.200000,2022-08-17T08:34:25-05:00,SIE-HGISD-025-2022-519694,ADQUISICIÓN DE DETERMINACIONES ANALÍTICAS DE QUÍMICA CLÍNICA PARA EL SERVICIO DEL LABORATORIO CLÍNICO DEL HOSPITAL GENERAL IESS SANTO DOMINGO,
1999359,ocds-5wno2w-SIE-HGEG-039-2022-106745,2022,7,open,Subasta Inversa Electrónica,QUITO,PICHINCHA,,HOSPITAL GENERAL ENRIQUE GARCES,310550.730000,2022-08-03T08:29:02-05:00,SIE-HGEG-039-2022-106745,CONTRATACIÓN DEL SERVICIO DE SEGURIDAD Y VIGILANCIA PRIVADA PARA EL HOSPITAL GENERAL ENRIQUE GARCÉS,
